Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuit 04,Chrome 119.0.0.0,,,11-12-2023 15:00:07,11-12-2023 15:00:21,13.684s,PASSED
,,,,,,,
Test Cases/TC Sample for Sertifikasi/Open Wiki,Chrome 119.0.0.0,,,11-12-2023 15:00:08,11-12-2023 15:00:21,12.229s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,11-12-2023 15:00:09,11-12-2023 15:00:14,5.345s,PASSED
"navigateToUrl(""https://www.wikipedia.org/"")",Chrome 119.0.0.0,,,11-12-2023 15:00:14,11-12-2023 15:00:16,1.675s,PASSED
"setText(findTestObject(""Object Repository/Open Wiki/Page_Wikipedia/input_search""), ""katalon"")",Chrome 119.0.0.0,,,11-12-2023 15:00:16,11-12-2023 15:00:17,1.293s,PASSED
"click(findTestObject(""Object Repository/Open Wiki/Page_Wikipedia/i_Search""))",Chrome 119.0.0.0,,,11-12-2023 15:00:17,11-12-2023 15:00:20,3.199s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,11-12-2023 15:00:20,11-12-2023 15:00:21,0.246s,PASSED
