Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuit 03,Chrome 119.0.0.0,,,11-12-2023 14:57:44,11-12-2023 14:57:55,11.382s,PASSED
,,,,,,,
Test Cases/TC Sample for Sertifikasi/Open ig,Chrome 119.0.0.0,,,11-12-2023 14:57:45,11-12-2023 14:57:55,10.423s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,11-12-2023 14:57:45,11-12-2023 14:57:48,2.958s,PASSED
"navigateToUrl(""https://starbridges.indocyber.co.id/Application/Account/Login?ReturnUrl=%2fApplication"")",Chrome 119.0.0.0,,,11-12-2023 14:57:48,11-12-2023 14:57:51,2.857s,PASSED
"click(findTestObject(""Object Repository/starbridges/Page_Login/a_Forgot Password""))",Chrome 119.0.0.0,,,11-12-2023 14:57:51,11-12-2023 14:57:52,1.607s,PASSED
"click(findTestObject(""Object Repository/starbridges/Page_Forgot Passsword/button_Cancel""))",Chrome 119.0.0.0,,,11-12-2023 14:57:52,11-12-2023 14:57:53,1.153s,PASSED
"click(findTestObject(""Object Repository/starbridges/Page_Login/button_Sign in""))",Chrome 119.0.0.0,,,11-12-2023 14:57:53,11-12-2023 14:57:54,0.883s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,11-12-2023 14:57:54,11-12-2023 14:57:55,0.677s,PASSED
