Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuit 02,Chrome 119.0.0.0,,,11-12-2023 14:59:47,11-12-2023 15:00:06,19.445s,PASSED
,,,,,,,
Test Cases/TC Sample for Sertifikasi/Open ig,Chrome 119.0.0.0,,,11-12-2023 14:59:47,11-12-2023 15:00:06,18.536s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,11-12-2023 14:59:48,11-12-2023 14:59:55,7.256s,PASSED
"navigateToUrl(""https://starbridges.indocyber.co.id/Application/Account/Login?ReturnUrl=%2fApplication"")",Chrome 119.0.0.0,,,11-12-2023 14:59:55,11-12-2023 14:59:57,1.368s,PASSED
"click(findTestObject(""Object Repository/starbridges/Page_Login/a_Forgot Password""))",Chrome 119.0.0.0,,,11-12-2023 14:59:57,11-12-2023 15:00:02,5.124s,PASSED
"click(findTestObject(""Object Repository/starbridges/Page_Forgot Passsword/button_Cancel""))",Chrome 119.0.0.0,,,11-12-2023 15:00:02,11-12-2023 15:00:03,1.112s,PASSED
"click(findTestObject(""Object Repository/starbridges/Page_Login/button_Sign in""))",Chrome 119.0.0.0,,,11-12-2023 15:00:03,11-12-2023 15:00:05,1.799s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,11-12-2023 15:00:05,11-12-2023 15:00:06,1.264s,PASSED
